first_name,last_name,email,join_date,designation,department,user_role,reporting_manager,leave_category,panelty,status
sadfsd,sdfsd,demo2@yopmail.com,Mon Jun 27 2022 05:30:00 GMT+0530 (India Standard Time),Jr Web Developer,Android,employee,dileep1@yopmail.com,"sick,casual,loss-of-pay",1.5,inactive
Romit,Vaghasiya,rom@yopmail.com,Tue Jun 28 2022 00:00:00 GMT+0530 (India Standard Time),Sr React Developer,Reactjs,superAdmin,ramvipul1209@gmail.com,"sick,casual,loss-of-pay",0,active
xyz,abc,xyz@yopmail.com,Wed Jun 29 2022 00:00:00 GMT+0530 (India Standard Time),Jr Web Developer,Reactjs,employee,ritesh.k@latitudetechnolabs.com,"loss-of-pay,probation",0,active
dhruv,garodiya,dhruvbhai@yopmail.com,Tue Jun 16 2020 00:00:00 GMT+0530 (India Standard Time),Sr React Developer,Reactjs,employee,ritesh.k@latitudetechnolabs.com,paid,0,active
John,Cena,john@yopmail.com,Wed Jun 01 2022 00:00:00 GMT+0530 (India Standard Time),Jr Web Developer,Reactjs,employee,ritesh.k@latitudetechnolabs.com,"loss-of-pay,paid",0,active
devang,patel,devang@yopmail.com,Fri Jun 10 2022 00:00:00 GMT+0530 (India Standard Time),Sr React Developer,django,employee,jaideep.r@latitudetechnolabs.com,"loss-of-pay,paid",0,active
Mukesh,Purohit,mukesh@yopmail.com,Fri Jun 19 2015 00:00:00 GMT+0530 (India Standard Time),Sr React Developer,Reactjs,superAdmin,ramvipul1209@gmail.com,"loss-of-pay,paid",0,active
Deval,Singh,deval@yopmail.com,Wed Dec 12 2012 00:00:00 GMT+0530 (India Standard Time),Sr React Developer,django,admin,jaideep.r@latitudetechnolabs.com,"loss-of-pay,paid",0,active
ms,dhoni,dhoni@yopmail.com,Tue Aug 10 2021 00:00:00 GMT+0530 (India Standard Time),Jr React Developer,Android,employee,ramvipul1209@gmail.com,"sick,casual,loss-of-pay,paid",0,active
hardik,pandya,pandya@yopmail.com,Fri Sep 10 2021 00:00:00 GMT+0530 (India Standard Time),sr node developer,Reactjs,employee,ramvipul1209@gmail.com,"casual,loss-of-pay",0,active
virat,kohli,kohli@yopmail.com,Fri Sep 10 2021 00:00:00 GMT+0530 (India Standard Time),Jr React Developer,Php,employee,ramvipul1209@gmail.com,"sick,casual,loss-of-pay",0,active
